REGION,FUEL,YEAR,VALUE
GLOBAL,T01,2048,19336.0815
GLOBAL,T01,2049,20094.5615
GLOBAL,T01,2050,20853.032
GLOBAL,T02IND,2030,5127.048
GLOBAL,T02IND,2031,5447.412
GLOBAL,T02IND,2032,5767.781999999999
GLOBAL,T02IND,2033,6088.146
GLOBAL,T02IND,2034,6408.51
GLOBAL,T02IND,2035,6728.874000000001
GLOBAL,T02IND,2036,7103.418000000001
GLOBAL,T02IND,2037,7477.956
GLOBAL,T02IND,2038,7852.481999999999
GLOBAL,T02IND,2039,8227.008
GLOBAL,T02IND,2040,8601.546
GLOBAL,T03INDSO,2025,339.285
GLOBAL,T03INDSO,2026,352.6335
GLOBAL,T03INDSO,2027,364.5135
GLOBAL,T03INDSO,2028,376.341
GLOBAL,T03INDSO,2029,388.2315
GLOBAL,T03INDSO,2030,400.206
GLOBAL,T03INDSO,2031,425.643
GLOBAL,T03INDSO,2032,451.455
GLOBAL,T03INDSO,2033,477.2505
GLOBAL,T03INDSO,2034,502.9095
GLOBAL,T03INDSO,2035,528.702
GLOBAL,T03INDSO,2036,558.3075
GLOBAL,T03INDSO,2037,587.712
GLOBAL,T03INDSO,2038,617.1225
GLOBAL,T03INDSO,2039,646.5224999999999
GLOBAL,T03INDSO,2040,675.6405000000001
GLOBAL,T03INDSO,2041,708.9359999999999
GLOBAL,T03INDSO,2042,742.3349999999999
GLOBAL,T03INDSO,2043,775.5585
GLOBAL,T03INDSO,2044,808.9815
GLOBAL,T03INDSO,2045,842.3805
GLOBAL,CALOCGIND,2021,50.0
