REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOBTNXX01,2021,0.5
GLOBAL,PWRBIOBTNXX01,2022,0.5
GLOBAL,PWRBIOBTNXX01,2023,0.5
GLOBAL,PWRBIOBTNXX01,2024,0.5
GLOBAL,PWRBIOBTNXX01,2025,0.5
GLOBAL,PWRBIOBTNXX01,2026,0.5
GLOBAL,PWRBIOBTNXX01,2027,0.5
GLOBAL,PWRBIOBTNXX01,2028,0.5
GLOBAL,PWRBIOBTNXX01,2029,0.5
GLOBAL,PWRBIOBTNXX01,2030,0.5
GLOBAL,PWRBIOBTNXX01,2031,0.5
GLOBAL,PWRBIOBTNXX01,2032,0.5
GLOBAL,PWRBIOBTNXX01,2033,0.5
GLOBAL,PWRBIOBTNXX01,2034,0.5
GLOBAL,PWRBIOBTNXX01,2035,0.5
GLOBAL,PWRBIOBTNXX01,2036,0.5
GLOBAL,PWRBIOBTNXX01,2037,0.5
GLOBAL,PWRBIOBTNXX01,2038,0.5
GLOBAL,PWRBIOBTNXX01,2039,0.5
GLOBAL,PWRBIOBTNXX01,2040,0.5
GLOBAL,PWRBIOBTNXX01,2041,0.5
GLOBAL,PWRBIOBTNXX01,2042,0.5
GLOBAL,PWRBIOBTNXX01,2043,0.5
GLOBAL,PWRBIOBTNXX01,2044,0.5
GLOBAL,PWRBIOBTNXX01,2045,0.5
GLOBAL,PWRBIOBTNXX01,2046,0.5
GLOBAL,PWRBIOBTNXX01,2047,0.5
GLOBAL,PWRBIOBTNXX01,2048,0.5
GLOBAL,PWRBIOBTNXX01,2049,0.5
GLOBAL,PWRBIOBTNXX01,2050,0.5
GLOBAL,PWRBIOINDEA01,2021,0.5
GLOBAL,PWRBIOINDEA01,2022,0.5
GLOBAL,PWRBIOINDEA01,2023,0.5
GLOBAL,PWRBIOINDEA01,2024,0.5
GLOBAL,PWRBIOINDEA01,2025,0.5
GLOBAL,PWRBIOINDEA01,2026,0.5
GLOBAL,PWRBIOINDEA01,2027,0.5
GLOBAL,PWRBIOINDEA01,2028,0.5
GLOBAL,PWRBIOINDEA01,2029,0.5
GLOBAL,PWRBIOINDEA01,2030,0.5
GLOBAL,PWRBIOINDEA01,2031,0.5
GLOBAL,PWRBIOINDEA01,2032,0.5
GLOBAL,PWRBIOINDEA01,2033,0.5
GLOBAL,PWRBIOINDEA01,2034,0.5
GLOBAL,PWRBIOINDEA01,2035,0.5
GLOBAL,PWRBIOINDEA01,2036,0.5
GLOBAL,PWRBIOINDEA01,2037,0.5
GLOBAL,PWRBIOINDEA01,2038,0.5
GLOBAL,PWRBIOINDEA01,2039,0.5
GLOBAL,PWRBIOINDEA01,2040,0.5
GLOBAL,PWRBIOINDEA01,2041,0.5
GLOBAL,PWRBIOINDEA01,2042,0.5
GLOBAL,PWRBIOINDEA01,2043,0.5
GLOBAL,PWRBIOINDEA01,2044,0.5
GLOBAL,PWRBIOINDEA01,2045,0.5
GLOBAL,PWRBIOINDEA01,2046,0.5
GLOBAL,PWRBIOINDEA01,2047,0.5
GLOBAL,PWRBIOINDEA01,2048,0.5
GLOBAL,PWRBIOINDEA01,2049,0.5
GLOBAL,PWRBIOINDEA01,2050,0.5
GLOBAL,PWRBIOINDNE01,2021,0.5
GLOBAL,PWRBIOINDNE01,2022,0.5
GLOBAL,PWRBIOINDNE01,2023,0.5
GLOBAL,PWRBIOINDNE01,2024,0.5
GLOBAL,PWRBIOINDNE01,2025,0.5
GLOBAL,PWRBIOINDNE01,2026,0.5
GLOBAL,PWRBIOINDNE01,2027,0.5
GLOBAL,PWRBIOINDNE01,2028,0.5
GLOBAL,PWRBIOINDNE01,2029,0.5
GLOBAL,PWRBIOINDNE01,2030,0.5
GLOBAL,PWRBIOINDNE01,2031,0.5
GLOBAL,PWRBIOINDNE01,2032,0.5
GLOBAL,PWRBIOINDNE01,2033,0.5
GLOBAL,PWRBIOINDNE01,2034,0.5
GLOBAL,PWRBIOINDNE01,2035,0.5
GLOBAL,PWRBIOINDNE01,2036,0.5
GLOBAL,PWRBIOINDNE01,2037,0.5
GLOBAL,PWRBIOINDNE01,2038,0.5
GLOBAL,PWRBIOINDNE01,2039,0.5
GLOBAL,PWRBIOINDNE01,2040,0.5
GLOBAL,PWRBIOINDNE01,2041,0.5
GLOBAL,PWRBIOINDNE01,2042,0.5
GLOBAL,PWRBIOINDNE01,2043,0.5
GLOBAL,PWRBIOINDNE01,2044,0.5
GLOBAL,PWRBIOINDNE01,2045,0.5
GLOBAL,PWRBIOINDNE01,2046,0.5
GLOBAL,PWRBIOINDNE01,2047,0.5
GLOBAL,PWRBIOINDNE01,2048,0.5
GLOBAL,PWRBIOINDNE01,2049,0.5
GLOBAL,PWRBIOINDNE01,2050,0.5
GLOBAL,PWRBIOINDNO01,2021,0.5
GLOBAL,PWRBIOINDNO01,2022,0.5
GLOBAL,PWRBIOINDNO01,2023,0.5
GLOBAL,PWRBIOINDNO01,2024,0.5
