REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCGBTNXX00,31.536
GLOBAL,PWROCGBTNXX00,31.536
GLOBAL,PWRHYDBTNXX01,31.536
GLOBAL,PWROILBTNXX01,31.536
GLOBAL,PWRSPVBTNXX01,31.536
GLOBAL,PWROTHBTNXX01,31.536
GLOBAL,PWRCSPBTNXX01,31.536
GLOBAL,PWRBIOBTNXX01,31.536
GLOBAL,PWRCOABTNXX01,31.536
GLOBAL,PWRURNBTNXX01,31.536
GLOBAL,PWRWONBTNXX01,31.536
GLOBAL,PWRWASBTNXX01,31.536
GLOBAL,PWRWOFBTNXX01,31.536
GLOBAL,PWRWAVBTNXX01,31.536
GLOBAL,PWRPETBTNXX01,31.536
GLOBAL,PWRGEOBTNXX01,31.536
GLOBAL,PWRCOGBTNXX01,31.536
GLOBAL,PWRCCSBTNXX01,31.536
GLOBAL,PWRCCGINDEA00,31.536
GLOBAL,PWROCGINDEA00,31.536
GLOBAL,PWRHYDINDEA01,31.536
GLOBAL,PWROILINDEA01,31.536
GLOBAL,PWRSPVINDEA01,31.536
GLOBAL,PWROTHINDEA01,31.536
GLOBAL,PWRCSPINDEA01,31.536
GLOBAL,PWRBIOINDEA01,31.536
GLOBAL,PWRCOAINDEA01,31.536
GLOBAL,PWRURNINDEA01,31.536
GLOBAL,PWRWONINDEA01,31.536
GLOBAL,PWRWASINDEA01,31.536
GLOBAL,PWRWOFINDEA01,31.536
GLOBAL,PWRWAVINDEA01,31.536
GLOBAL,PWRPETINDEA01,31.536
GLOBAL,PWRGEOINDEA01,31.536
GLOBAL,PWRCOGINDEA01,31.536
GLOBAL,PWRCCSINDEA01,31.536
GLOBAL,PWRCCGINDNE00,31.536
GLOBAL,PWROCGINDNE00,31.536
GLOBAL,PWRHYDINDNE01,31.536
GLOBAL,PWROILINDNE01,31.536
GLOBAL,PWRSPVINDNE01,31.536
GLOBAL,PWROTHINDNE01,31.536
GLOBAL,PWRCSPINDNE01,31.536
GLOBAL,PWRBIOINDNE01,31.536
GLOBAL,PWRCOAINDNE01,31.536
GLOBAL,PWRURNINDNE01,31.536
GLOBAL,PWRWONINDNE01,31.536
GLOBAL,PWRWASINDNE01,31.536
GLOBAL,PWRWOFINDNE01,31.536
GLOBAL,PWRWAVINDNE01,31.536
GLOBAL,PWRPETINDNE01,31.536
GLOBAL,PWRGEOINDNE01,31.536
GLOBAL,PWRCOGINDNE01,31.536
GLOBAL,PWRCCSINDNE01,31.536
GLOBAL,PWRCCGINDNO00,31.536
GLOBAL,PWROCGINDNO00,31.536
GLOBAL,PWRHYDINDNO01,31.536
GLOBAL,PWROILINDNO01,31.536
GLOBAL,PWRSPVINDNO01,31.536
GLOBAL,PWROTHINDNO01,31.536
GLOBAL,PWRCSPINDNO01,31.536
GLOBAL,PWRBIOINDNO01,31.536
GLOBAL,PWRCOAINDNO01,31.536
GLOBAL,PWRURNINDNO01,31.536
GLOBAL,PWRWONINDNO01,31.536
GLOBAL,PWRWASINDNO01,31.536
GLOBAL,PWRWOFINDNO01,31.536
