REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOBTNXX01,2021,2037.5
GLOBAL,PWRBIOBTNXX01,2022,2037.5
GLOBAL,PWRBIOBTNXX01,2023,2037.5
GLOBAL,PWRBIOBTNXX01,2024,2037.5
GLOBAL,PWRBIOBTNXX01,2025,2037.5
GLOBAL,PWRBIOBTNXX01,2026,2037.5
GLOBAL,PWRBIOBTNXX01,2027,2037.5
GLOBAL,PWRBIOBTNXX01,2028,2037.5
GLOBAL,PWRBIOBTNXX01,2029,2037.5
GLOBAL,PWRBIOBTNXX01,2030,2037.5
GLOBAL,PWRBIOBTNXX01,2031,2035.0
GLOBAL,PWRBIOBTNXX01,2032,2032.5
GLOBAL,PWRBIOBTNXX01,2033,2030.0
GLOBAL,PWRBIOBTNXX01,2034,2027.5
GLOBAL,PWRBIOBTNXX01,2035,2025.0
GLOBAL,PWRBIOBTNXX01,2036,2022.5
GLOBAL,PWRBIOBTNXX01,2037,2020.0
GLOBAL,PWRBIOBTNXX01,2038,2017.5
GLOBAL,PWRBIOBTNXX01,2039,2015.0
GLOBAL,PWRBIOBTNXX01,2040,2012.5
GLOBAL,PWRBIOBTNXX01,2041,2012.5
GLOBAL,PWRBIOBTNXX01,2042,2012.5
GLOBAL,PWRBIOBTNXX01,2043,2012.5
GLOBAL,PWRBIOBTNXX01,2044,2012.5
GLOBAL,PWRBIOBTNXX01,2045,2012.5
GLOBAL,PWRBIOBTNXX01,2046,2012.5
GLOBAL,PWRBIOBTNXX01,2047,2012.5
GLOBAL,PWRBIOBTNXX01,2048,2012.5
GLOBAL,PWRBIOBTNXX01,2049,2012.5
GLOBAL,PWRBIOBTNXX01,2050,2012.5
GLOBAL,PWRBIOINDEA01,2021,2100.0
GLOBAL,PWRBIOINDEA01,2022,2100.0
GLOBAL,PWRBIOINDEA01,2023,2100.0
GLOBAL,PWRBIOINDEA01,2024,2100.0
GLOBAL,PWRBIOINDEA01,2025,2100.0
GLOBAL,PWRBIOINDEA01,2026,2100.0
GLOBAL,PWRBIOINDEA01,2027,2100.0
GLOBAL,PWRBIOINDEA01,2028,2100.0
GLOBAL,PWRBIOINDEA01,2029,2100.0
GLOBAL,PWRBIOINDEA01,2030,2100.0
GLOBAL,PWRBIOINDEA01,2031,2100.0
GLOBAL,PWRBIOINDEA01,2032,2100.0
GLOBAL,PWRBIOINDEA01,2033,2100.0
GLOBAL,PWRBIOINDEA01,2034,2100.0
GLOBAL,PWRBIOINDEA01,2035,2100.0
GLOBAL,PWRBIOINDEA01,2036,2100.0
GLOBAL,PWRBIOINDEA01,2037,2100.0
GLOBAL,PWRBIOINDEA01,2038,2100.0
GLOBAL,PWRBIOINDEA01,2039,2100.0
GLOBAL,PWRBIOINDEA01,2040,2100.0
GLOBAL,PWRBIOINDEA01,2041,2100.0
GLOBAL,PWRBIOINDEA01,2042,2100.0
GLOBAL,PWRBIOINDEA01,2043,2100.0
GLOBAL,PWRBIOINDEA01,2044,2100.0
GLOBAL,PWRBIOINDEA01,2045,2100.0
GLOBAL,PWRBIOINDEA01,2046,2100.0
GLOBAL,PWRBIOINDEA01,2047,2100.0
GLOBAL,PWRBIOINDEA01,2048,2100.0
GLOBAL,PWRBIOINDEA01,2049,2100.0
GLOBAL,PWRBIOINDEA01,2050,2100.0
GLOBAL,PWRBIOINDNE01,2021,2100.0
GLOBAL,PWRBIOINDNE01,2022,2100.0
GLOBAL,PWRBIOINDNE01,2023,2100.0
GLOBAL,PWRBIOINDNE01,2024,2100.0
