REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2IND,2021,2.1
GLOBAL,CO2IND,2022,2.1
GLOBAL,CO2IND,2023,2.1
GLOBAL,CO2IND,2024,2.1
GLOBAL,CO2IND,2025,2.1
GLOBAL,CO2IND,2026,2.1
GLOBAL,CO2IND,2027,2.1
GLOBAL,CO2IND,2028,2.1
GLOBAL,CO2IND,2029,2.1
GLOBAL,CO2IND,2030,2.1
GLOBAL,CO2IND,2031,2.1
GLOBAL,CO2IND,2032,2.1
GLOBAL,CO2IND,2033,2.1
GLOBAL,CO2IND,2034,2.1
GLOBAL,CO2IND,2035,2.1
GLOBAL,CO2IND,2036,2.1
GLOBAL,CO2IND,2037,2.1
GLOBAL,CO2IND,2038,2.1
GLOBAL,CO2IND,2039,2.1
GLOBAL,CO2IND,2040,2.1
GLOBAL,CO2IND,2041,2.1
GLOBAL,CO2IND,2042,2.1
GLOBAL,CO2IND,2043,2.1
GLOBAL,CO2IND,2044,2.1
GLOBAL,CO2IND,2045,2.1
GLOBAL,CO2IND,2046,2.1
GLOBAL,CO2IND,2047,2.1
GLOBAL,CO2IND,2048,2.1
GLOBAL,CO2IND,2049,2.1
GLOBAL,CO2IND,2050,2.1
