REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOBTNXX01,2021,71.25
GLOBAL,PWRBIOBTNXX01,2022,71.25
GLOBAL,PWRBIOBTNXX01,2023,71.25
GLOBAL,PWRBIOBTNXX01,2024,71.25
GLOBAL,PWRBIOBTNXX01,2025,71.25
GLOBAL,PWRBIOBTNXX01,2026,71.25
GLOBAL,PWRBIOBTNXX01,2027,71.25
GLOBAL,PWRBIOBTNXX01,2028,71.25
GLOBAL,PWRBIOBTNXX01,2029,71.25
GLOBAL,PWRBIOBTNXX01,2030,71.25
GLOBAL,PWRBIOBTNXX01,2031,71.25
GLOBAL,PWRBIOBTNXX01,2032,71.25
GLOBAL,PWRBIOBTNXX01,2033,71.25
GLOBAL,PWRBIOBTNXX01,2034,71.25
GLOBAL,PWRBIOBTNXX01,2035,71.25
GLOBAL,PWRBIOBTNXX01,2036,71.25
GLOBAL,PWRBIOBTNXX01,2037,71.25
GLOBAL,PWRBIOBTNXX01,2038,71.25
GLOBAL,PWRBIOBTNXX01,2039,71.25
GLOBAL,PWRBIOBTNXX01,2040,71.25
GLOBAL,PWRBIOBTNXX01,2041,71.25
GLOBAL,PWRBIOBTNXX01,2042,71.25
GLOBAL,PWRBIOBTNXX01,2043,71.25
GLOBAL,PWRBIOBTNXX01,2044,71.25
GLOBAL,PWRBIOBTNXX01,2045,71.25
GLOBAL,PWRBIOBTNXX01,2046,71.25
GLOBAL,PWRBIOBTNXX01,2047,71.25
GLOBAL,PWRBIOBTNXX01,2048,71.25
GLOBAL,PWRBIOBTNXX01,2049,71.25
GLOBAL,PWRBIOBTNXX01,2050,71.25
GLOBAL,PWRBIOINDEA01,2021,75.0
GLOBAL,PWRBIOINDEA01,2022,75.0
GLOBAL,PWRBIOINDEA01,2023,75.0
GLOBAL,PWRBIOINDEA01,2024,75.0
GLOBAL,PWRBIOINDEA01,2025,75.0
GLOBAL,PWRBIOINDEA01,2026,75.0
GLOBAL,PWRBIOINDEA01,2027,75.0
GLOBAL,PWRBIOINDEA01,2028,75.0
GLOBAL,PWRBIOINDEA01,2029,75.0
GLOBAL,PWRBIOINDEA01,2030,75.0
GLOBAL,PWRBIOINDEA01,2031,75.0
GLOBAL,PWRBIOINDEA01,2032,75.0
GLOBAL,PWRBIOINDEA01,2033,75.0
GLOBAL,PWRBIOINDEA01,2034,75.0
GLOBAL,PWRBIOINDEA01,2035,75.0
GLOBAL,PWRBIOINDEA01,2036,75.0
GLOBAL,PWRBIOINDEA01,2037,75.0
GLOBAL,PWRBIOINDEA01,2038,75.0
GLOBAL,PWRBIOINDEA01,2039,75.0
GLOBAL,PWRBIOINDEA01,2040,75.0
GLOBAL,PWRBIOINDEA01,2041,75.0
GLOBAL,PWRBIOINDEA01,2042,75.0
GLOBAL,PWRBIOINDEA01,2043,75.0
GLOBAL,PWRBIOINDEA01,2044,75.0
GLOBAL,PWRBIOINDEA01,2045,75.0
GLOBAL,PWRBIOINDEA01,2046,75.0
GLOBAL,PWRBIOINDEA01,2047,75.0
GLOBAL,PWRBIOINDEA01,2048,75.0
GLOBAL,PWRBIOINDEA01,2049,75.0
GLOBAL,PWRBIOINDEA01,2050,75.0
GLOBAL,PWRBIOINDNE01,2021,75.0
GLOBAL,PWRBIOINDNE01,2022,75.0
GLOBAL,PWRBIOINDNE01,2023,75.0
GLOBAL,PWRBIOINDNE01,2024,75.0
GLOBAL,PWRBIOINDNE01,2025,75.0
GLOBAL,PWRBIOINDNE01,2026,75.0
