REGION,TECHNOLOGY,VALUE
GLOBAL,PWRWONINDSO01,30.0
GLOBAL,PWRSPVINDNO01,30.0
GLOBAL,PWRWAVINDWE01,20.0
GLOBAL,PWROTHINDNE01,30.0
GLOBAL,PWRCCSINDSO01,30.0
GLOBAL,PWRWASINDNE01,30.0
GLOBAL,PWRWASINDSO01,30.0
GLOBAL,PWRURNINDNO01,60.0
GLOBAL,PWRWOFINDNO01,30.0
GLOBAL,PWRWAVINDNO01,20.0
GLOBAL,PWROILINDWE01,30.0
GLOBAL,PWRCOAINDNO01,30.0
GLOBAL,PWRCOAINDNE01,30.0
GLOBAL,PWRWAVINDNE01,20.0
GLOBAL,PWROILINDEA01,30.0
GLOBAL,PWRWAVINDSO01,20.0
GLOBAL,PWRPETINDEA01,30.0
GLOBAL,PWRCSPINDNO01,30.0
GLOBAL,PWRWONINDEA01,30.0
GLOBAL,PWRBIOBTNXX01,30.0
GLOBAL,PWRBIOINDSO01,30.0
GLOBAL,PWRWOFINDWE01,30.0
GLOBAL,PWRWOFINDSO01,30.0
GLOBAL,PWRSPVINDWE01,30.0
GLOBAL,PWRCCGINDWE01,30.0
GLOBAL,PWRWONBTNXX01,30.0
GLOBAL,PWRCCGBTNXX01,30.0
GLOBAL,PWRCCGINDWE00,30.0
GLOBAL,PWROCGINDEA00,30.0
GLOBAL,PWROCGINDNO01,30.0
GLOBAL,PWROCGBTNXX01,30.0
GLOBAL,PWRCCGINDNE00,30.0
GLOBAL,PWRWASBTNXX01,30.0
GLOBAL,PWRGEOINDEA01,30.0
GLOBAL,PWROTHINDEA01,30.0
GLOBAL,PWRGEOINDSO01,30.0
GLOBAL,PWRCCSINDNE01,30.0
GLOBAL,PWROILINDNO01,30.0
GLOBAL,PWROILINDSO01,30.0
GLOBAL,PWRCCGBTNXX00,30.0
GLOBAL,PWROTHBTNXX01,30.0
GLOBAL,PWRURNINDSO01,60.0
GLOBAL,PWRURNINDEA01,60.0
GLOBAL,PWRCCSINDEA01,30.0
GLOBAL,PWRWOFINDEA01,30.0
GLOBAL,PWRPETINDNE01,30.0
GLOBAL,PWRCOGINDNE01,30.0
GLOBAL,PWRURNINDNE01,60.0
GLOBAL,PWRCCSINDWE01,30.0
GLOBAL,PWROCGINDSO00,30.0
GLOBAL,PWRCOGINDWE01,30.0
GLOBAL,PWROCGINDNE01,30.0
GLOBAL,PWRHYDINDWE01,100.0
GLOBAL,PWRPETINDNO01,30.0
GLOBAL,PWRCCGINDSO01,30.0
GLOBAL,PWRSPVINDSO01,30.0
GLOBAL,PWRWASINDNO01,30.0
GLOBAL,PWRGEOINDNO01,30.0
GLOBAL,PWRWAVBTNXX01,20.0
GLOBAL,PWRSPVBTNXX01,30.0
GLOBAL,PWROCGINDNE00,30.0
GLOBAL,PWROTHINDWE01,30.0
GLOBAL,PWRBIOINDNO01,30.0
GLOBAL,PWRWAVINDEA01,20.0
GLOBAL,PWROCGINDWE01,30.0
GLOBAL,PWRCCGINDNO01,30.0
GLOBAL,PWRWASINDEA01,30.0
GLOBAL,PWRSPVINDNE01,30.0
GLOBAL,PWRWOFBTNXX01,30.0
GLOBAL,PWROCGINDNO00,30.0
GLOBAL,PWRCOGINDEA01,30.0
GLOBAL,PWRHYDINDNO01,100.0
GLOBAL,PWROILBTNXX01,30.0
GLOBAL,PWRCSPINDNE01,30.0
GLOBAL,PWRURNINDWE01,60.0
GLOBAL,PWRPETINDSO01,30.0
GLOBAL,PWRCCGINDNE01,30.0
