REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOBTNXX01,2021,0.9
GLOBAL,PWRBIOBTNXX01,2022,0.9
GLOBAL,PWRBIOBTNXX01,2023,0.9
GLOBAL,PWRBIOBTNXX01,2024,0.9
GLOBAL,PWRBIOBTNXX01,2025,0.9
GLOBAL,PWRBIOBTNXX01,2026,0.9
GLOBAL,PWRBIOBTNXX01,2027,0.9
GLOBAL,PWRBIOBTNXX01,2028,0.9
GLOBAL,PWRBIOBTNXX01,2029,0.9
GLOBAL,PWRBIOBTNXX01,2030,0.9
GLOBAL,PWRBIOBTNXX01,2031,0.9
GLOBAL,PWRBIOBTNXX01,2032,0.9
GLOBAL,PWRBIOBTNXX01,2033,0.9
GLOBAL,PWRBIOBTNXX01,2034,0.9
GLOBAL,PWRBIOBTNXX01,2035,0.9
GLOBAL,PWRBIOBTNXX01,2036,0.9
GLOBAL,PWRBIOBTNXX01,2037,0.9
GLOBAL,PWRBIOBTNXX01,2038,0.9
GLOBAL,PWRBIOBTNXX01,2039,0.9
GLOBAL,PWRBIOBTNXX01,2040,0.9
GLOBAL,PWRBIOBTNXX01,2041,0.9
GLOBAL,PWRBIOBTNXX01,2042,0.9
GLOBAL,PWRBIOBTNXX01,2043,0.9
GLOBAL,PWRBIOBTNXX01,2044,0.9
GLOBAL,PWRBIOBTNXX01,2045,0.9
GLOBAL,PWRBIOBTNXX01,2046,0.9
GLOBAL,PWRBIOBTNXX01,2047,0.9
GLOBAL,PWRBIOBTNXX01,2048,0.9
GLOBAL,PWRBIOBTNXX01,2049,0.9
GLOBAL,PWRBIOBTNXX01,2050,0.9
GLOBAL,PWRBIOINDEA01,2021,0.9
GLOBAL,PWRBIOINDEA01,2022,0.9
GLOBAL,PWRBIOINDEA01,2023,0.9
GLOBAL,PWRBIOINDEA01,2024,0.9
GLOBAL,PWRBIOINDEA01,2025,0.9
GLOBAL,PWRBIOINDEA01,2026,0.9
GLOBAL,PWRBIOINDEA01,2027,0.9
GLOBAL,PWRBIOINDEA01,2028,0.9
GLOBAL,PWRBIOINDEA01,2029,0.9
GLOBAL,PWRBIOINDEA01,2030,0.9
GLOBAL,PWRBIOINDEA01,2031,0.9
GLOBAL,PWRBIOINDEA01,2032,0.9
GLOBAL,PWRBIOINDEA01,2033,0.9
GLOBAL,PWRBIOINDEA01,2034,0.9
GLOBAL,PWRBIOINDEA01,2035,0.9
GLOBAL,PWRBIOINDEA01,2036,0.9
GLOBAL,PWRBIOINDEA01,2037,0.9
GLOBAL,PWRBIOINDEA01,2038,0.9
GLOBAL,PWRBIOINDEA01,2039,0.9
GLOBAL,PWRBIOINDEA01,2040,0.9
GLOBAL,PWRBIOINDEA01,2041,0.9
GLOBAL,PWRBIOINDEA01,2042,0.9
GLOBAL,PWRBIOINDEA01,2043,0.9
GLOBAL,PWRBIOINDEA01,2044,0.9
GLOBAL,PWRBIOINDEA01,2045,0.9
GLOBAL,PWRBIOINDEA01,2046,0.9
GLOBAL,PWRBIOINDEA01,2047,0.9
GLOBAL,PWRBIOINDEA01,2048,0.9
GLOBAL,PWRBIOINDEA01,2049,0.9
GLOBAL,PWRBIOINDEA01,2050,0.9
GLOBAL,PWRBIOINDNE01,2021,0.9
GLOBAL,PWRBIOINDNE01,2022,0.9
GLOBAL,PWRBIOINDNE01,2023,0.9
GLOBAL,PWRBIOINDNE01,2024,0.9
GLOBAL,PWRBIOINDNE01,2025,0.9
GLOBAL,PWRBIOINDNE01,2026,0.9
GLOBAL,PWRBIOINDNE01,2027,0.9
GLOBAL,PWRBIOINDNE01,2028,0.9
GLOBAL,PWRBIOINDNE01,2029,0.9
GLOBAL,PWRBIOINDNE01,2030,0.9
GLOBAL,PWRBIOINDNE01,2031,0.9
GLOBAL,PWRBIOINDNE01,2032,0.9
GLOBAL,PWRBIOINDNE01,2033,0.9
GLOBAL,PWRBIOINDNE01,2034,0.9
GLOBAL,PWRBIOINDNE01,2035,0.9
GLOBAL,PWRBIOINDNE01,2036,0.9
GLOBAL,PWRBIOINDNE01,2037,0.9
GLOBAL,PWRBIOINDNE01,2038,0.9
GLOBAL,PWRBIOINDNE01,2039,0.9
GLOBAL,PWRBIOINDNE01,2040,0.9
GLOBAL,PWRBIOINDNE01,2041,0.9
GLOBAL,PWRBIOINDNE01,2042,0.9
GLOBAL,PWRBIOINDNE01,2043,0.9
GLOBAL,PWRBIOINDNE01,2044,0.9
GLOBAL,PWRBIOINDNE01,2045,0.9
GLOBAL,PWRBIOINDNE01,2046,0.9
GLOBAL,PWRBIOINDNE01,2047,0.9
GLOBAL,PWRBIOINDNE01,2048,0.9
GLOBAL,PWRBIOINDNE01,2049,0.9
GLOBAL,PWRBIOINDNE01,2050,0.9
GLOBAL,PWRBIOINDNO01,2021,0.9
GLOBAL,PWRBIOINDNO01,2022,0.9
GLOBAL,PWRBIOINDNO01,2023,0.9
GLOBAL,PWRBIOINDNO01,2024,0.9
GLOBAL,PWRBIOINDNO01,2025,0.9
GLOBAL,PWRBIOINDNO01,2026,0.9
GLOBAL,PWRBIOINDNO01,2027,0.9
GLOBAL,PWRBIOINDNO01,2028,0.9
GLOBAL,PWRBIOINDNO01,2029,0.9
GLOBAL,PWRBIOINDNO01,2030,0.9
GLOBAL,PWRBIOINDNO01,2031,0.9
GLOBAL,PWRBIOINDNO01,2032,0.9
GLOBAL,PWRBIOINDNO01,2033,0.9
GLOBAL,PWRBIOINDNO01,2034,0.9
GLOBAL,PWRBIOINDNO01,2035,0.9
GLOBAL,PWRBIOINDNO01,2036,0.9
GLOBAL,PWRBIOINDNO01,2037,0.9
GLOBAL,PWRBIOINDNO01,2038,0.9
GLOBAL,PWRBIOINDNO01,2039,0.9
GLOBAL,PWRBIOINDNO01,2040,0.9
GLOBAL,PWRBIOINDNO01,2041,0.9
GLOBAL,PWRBIOINDNO01,2042,0.9
GLOBAL,PWRBIOINDNO01,2043,0.9
GLOBAL,PWRBIOINDNO01,2044,0.9
GLOBAL,PWRBIOINDNO01,2045,0.9
GLOBAL,PWRBIOINDNO01,2046,0.9
GLOBAL,PWRBIOINDNO01,2047,0.9
GLOBAL,PWRBIOINDNO01,2048,0.9
GLOBAL,PWRBIOINDNO01,2049,0.9
GLOBAL,PWRBIOINDNO01,2050,0.9
GLOBAL,PWRBIOINDSO01,2021,0.9
GLOBAL,PWRBIOINDSO01,2022,0.9
GLOBAL,PWRBIOINDSO01,2023,0.9
GLOBAL,PWRBIOINDSO01,2024,0.9
GLOBAL,PWRBIOINDSO01,2025,0.9
GLOBAL,PWRBIOINDSO01,2026,0.9
GLOBAL,PWRBIOINDSO01,2027,0.9
GLOBAL,PWRBIOINDSO01,2028,0.9
GLOBAL,PWRBIOINDSO01,2029,0.9
GLOBAL,PWRBIOINDSO01,2030,0.9
GLOBAL,PWRBIOINDSO01,2031,0.9
GLOBAL,PWRBIOINDSO01,2032,0.9
GLOBAL,PWRBIOINDSO01,2033,0.9
GLOBAL,PWRBIOINDSO01,2034,0.9
GLOBAL,PWRBIOINDSO01,2035,0.9
GLOBAL,PWRBIOINDSO01,2036,0.9
GLOBAL,PWRBIOINDSO01,2037,0.9
GLOBAL,PWRBIOINDSO01,2038,0.9
GLOBAL,PWRBIOINDSO01,2039,0.9
GLOBAL,PWRBIOINDSO01,2040,0.9
GLOBAL,PWRBIOINDSO01,2041,0.9
GLOBAL,PWRBIOINDSO01,2042,0.9
GLOBAL,PWRBIOINDSO01,2043,0.9
GLOBAL,PWRBIOINDSO01,2044,0.9
GLOBAL,PWRBIOINDSO01,2045,0.9
GLOBAL,PWRBIOINDSO01,2046,0.9
GLOBAL,PWRBIOINDSO01,2047,0.9
GLOBAL,PWRBIOINDSO01,2048,0.9
GLOBAL,PWRBIOINDSO01,2049,0.9
GLOBAL,PWRBIOINDSO01,2050,0.9
GLOBAL,PWRBIOINDWE01,2021,0.9
GLOBAL,PWRBIOINDWE01,2022,0.9
GLOBAL,PWRBIOINDWE01,2023,0.9
GLOBAL,PWRBIOINDWE01,2024,0.9
GLOBAL,PWRBIOINDWE01,2025,0.9
GLOBAL,PWRBIOINDWE01,2026,0.9
GLOBAL,PWRBIOINDWE01,2027,0.9
GLOBAL,PWRBIOINDWE01,2028,0.9
GLOBAL,PWRBIOINDWE01,2029,0.9
GLOBAL,PWRBIOINDWE01,2030,0.9
GLOBAL,PWRBIOINDWE01,2031,0.9
GLOBAL,PWRBIOINDWE01,2032,0.9
GLOBAL,PWRBIOINDWE01,2033,0.9
GLOBAL,PWRBIOINDWE01,2034,0.9
GLOBAL,PWRBIOINDWE01,2035,0.9
GLOBAL,PWRBIOINDWE01,2036,0.9
GLOBAL,PWRBIOINDWE01,2037,0.9
GLOBAL,PWRBIOINDWE01,2038,0.9
GLOBAL,PWRBIOINDWE01,2039,0.9
GLOBAL,PWRBIOINDWE01,2040,0.9
GLOBAL,PWRBIOINDWE01,2041,0.9
GLOBAL,PWRBIOINDWE01,2042,0.9
GLOBAL,PWRBIOINDWE01,2043,0.9
GLOBAL,PWRBIOINDWE01,2044,0.9
GLOBAL,PWRBIOINDWE01,2045,0.9
GLOBAL,PWRBIOINDWE01,2046,0.9
GLOBAL,PWRBIOINDWE01,2047,0.9
GLOBAL,PWRBIOINDWE01,2048,0.9
GLOBAL,PWRBIOINDWE01,2049,0.9
GLOBAL,PWRBIOINDWE01,2050,0.9
GLOBAL,PWRCCGBTNXX00,2021,0.9
GLOBAL,PWRCCGBTNXX00,2022,0.9
GLOBAL,PWRCCGBTNXX00,2023,0.9
GLOBAL,PWRCCGBTNXX00,2024,0.9
GLOBAL,PWRCCGBTNXX00,2025,0.9
GLOBAL,PWRCCGBTNXX00,2026,0.9
GLOBAL,PWRCCGBTNXX00,2027,0.9
GLOBAL,PWRCCGBTNXX00,2028,0.9
GLOBAL,PWRCCGBTNXX00,2029,0.9
GLOBAL,PWRCCGBTNXX00,2030,0.9
GLOBAL,PWRCCGBTNXX00,2031,0.9
GLOBAL,PWRCCGBTNXX00,2032,0.9
GLOBAL,PWRCCGBTNXX00,2033,0.9
GLOBAL,PWRCCGBTNXX00,2034,0.9
GLOBAL,PWRCCGBTNXX00,2035,0.9
GLOBAL,PWRCCGBTNXX00,2036,0.9
GLOBAL,PWRCCGBTNXX00,2037,0.9
GLOBAL,PWRCCGBTNXX00,2038,0.9
GLOBAL,PWRCCGBTNXX00,2039,0.9
GLOBAL,PWRCCGBTNXX00,2040,0.9
GLOBAL,PWRCCGBTNXX00,2041,0.9
GLOBAL,PWRCCGBTNXX00,2042,0.9
GLOBAL,PWRCCGBTNXX00,2043,0.9
GLOBAL,PWRCCGBTNXX00,2044,0.9
GLOBAL,PWRCCGBTNXX00,2045,0.9
GLOBAL,PWRCCGBTNXX00,2046,0.9
GLOBAL,PWRCCGBTNXX00,2047,0.9
GLOBAL,PWRCCGBTNXX00,2048,0.9
GLOBAL,PWRCCGBTNXX00,2049,0.9
GLOBAL,PWRCCGBTNXX00,2050,0.9
GLOBAL,PWRCCGBTNXX01,2021,0.9
GLOBAL,PWRCCGBTNXX01,2022,0.9
GLOBAL,PWRCCGBTNXX01,2023,0.9
GLOBAL,PWRCCGBTNXX01,2024,0.9
GLOBAL,PWRCCGBTNXX01,2025,0.9
GLOBAL,PWRCCGBTNXX01,2026,0.9
GLOBAL,PWRCCGBTNXX01,2027,0.9
GLOBAL,PWRCCGBTNXX01,2028,0.9
GLOBAL,PWRCCGBTNXX01,2029,0.9
GLOBAL,PWRCCGBTNXX01,2030,0.9
GLOBAL,PWRCCGBTNXX01,2031,0.9
GLOBAL,PWRCCGBTNXX01,2032,0.9
GLOBAL,PWRCCGBTNXX01,2033,0.9
GLOBAL,PWRCCGBTNXX01,2034,0.9
GLOBAL,PWRCCGBTNXX01,2035,0.9
GLOBAL,PWRCCGBTNXX01,2036,0.9
GLOBAL,PWRCCGBTNXX01,2037,0.9
GLOBAL,PWRCCGBTNXX01,2038,0.9
GLOBAL,PWRCCGBTNXX01,2039,0.9
GLOBAL,PWRCCGBTNXX01,2040,0.9
GLOBAL,PWRCCGBTNXX01,2041,0.9
GLOBAL,PWRCCGBTNXX01,2042,0.9
GLOBAL,PWRCCGBTNXX01,2043,0.9
GLOBAL,PWRCCGBTNXX01,2044,0.9
GLOBAL,PWRCCGBTNXX01,2045,0.9
GLOBAL,PWRCCGBTNXX01,2046,0.9
GLOBAL,PWRCCGBTNXX01,2047,0.9
GLOBAL,PWRCCGBTNXX01,2048,0.9
GLOBAL,PWRCCGBTNXX01,2049,0.9
GLOBAL,PWRCCGBTNXX01,2050,0.9
GLOBAL,PWRCCGINDEA00,2021,0.9
GLOBAL,PWRCCGINDEA00,2022,0.9
GLOBAL,PWRCCGINDEA00,2023,0.9
GLOBAL,PWRCCGINDEA00,2024,0.9
GLOBAL,PWRCCGINDEA00,2025,0.9
GLOBAL,PWRCCGINDEA00,2026,0.9
GLOBAL,PWRCCGINDEA00,2027,0.9
GLOBAL,PWRCCGINDEA00,2028,0.9
GLOBAL,PWRCCGINDEA00,2029,0.9
GLOBAL,PWRCCGINDEA00,2030,0.9
GLOBAL,PWRCCGINDEA00,2031,0.9
GLOBAL,PWRCCGINDEA00,2032,0.9
GLOBAL,PWRCCGINDEA00,2033,0.9
GLOBAL,PWRCCGINDEA00,2034,0.9
GLOBAL,PWRCCGINDEA00,2035,0.9
GLOBAL,PWRCCGINDEA00,2036,0.9
GLOBAL,PWRCCGINDEA00,2037,0.9
GLOBAL,PWRCCGINDEA00,2038,0.9
GLOBAL,PWRCCGINDEA00,2039,0.9
GLOBAL,PWRCCGINDEA00,2040,0.9
GLOBAL,PWRCCGINDEA00,2041,0.9
GLOBAL,PWRCCGINDEA00,2042,0.9
GLOBAL,PWRCCGINDEA00,2043,0.9
GLOBAL,PWRCCGINDEA00,2044,0.9
GLOBAL,PWRCCGINDEA00,2045,0.9
GLOBAL,PWRCCGINDEA00,2046,0.9
GLOBAL,PWRCCGINDEA00,2047,0.9
GLOBAL,PWRCCGINDEA00,2048,0.9
GLOBAL,PWRCCGINDEA00,2049,0.9
GLOBAL,PWRCCGINDEA00,2050,0.9
GLOBAL,PWRCCGINDEA01,2021,0.9
GLOBAL,PWRCCGINDEA01,2022,0.9
GLOBAL,PWRCCGINDEA01,2023,0.9
GLOBAL,PWRCCGINDEA01,2024,0.9
GLOBAL,PWRCCGINDEA01,2025,0.9
