REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSINDEA01,2021.0,0.01944
GLOBAL,LDSINDEA01,2022.0,0.01944
GLOBAL,LDSINDEA01,2023.0,0.01944
GLOBAL,LDSINDEA01,2024.0,0.01944
GLOBAL,LDSINDEA01,2025.0,0.01944
GLOBAL,LDSINDEA01,2026.0,0.01944
GLOBAL,LDSINDEA01,2027.0,0.01944
GLOBAL,LDSINDEA01,2028.0,0.01944
GLOBAL,LDSINDEA01,2029.0,0.01944
GLOBAL,LDSINDEA01,2030.0,0.01944
GLOBAL,LDSINDEA01,2031.0,0.01944
GLOBAL,LDSINDEA01,2032.0,0.01944
GLOBAL,LDSINDEA01,2033.0,0.01944
GLOBAL,LDSINDEA01,2034.0,0.01944
GLOBAL,LDSINDEA01,2035.0,0.01944
GLOBAL,LDSINDEA01,2036.0,0.01944
GLOBAL,LDSINDEA01,2037.0,0.01944
GLOBAL,LDSINDEA01,2038.0,0.01944
GLOBAL,LDSINDEA01,2039.0,0.01944
GLOBAL,LDSINDEA01,2040.0,0.01944
GLOBAL,LDSINDEA01,2041.0,0.01944
GLOBAL,LDSINDEA01,2042.0,0.01944
GLOBAL,LDSINDEA01,2043.0,0.01944
GLOBAL,LDSINDEA01,2044.0,0.01944
GLOBAL,LDSINDEA01,2045.0,0.01944
GLOBAL,LDSINDEA01,2046.0,0.01944
GLOBAL,LDSINDEA01,2047.0,0.01944
GLOBAL,LDSINDEA01,2048.0,0.01944
GLOBAL,LDSINDEA01,2049.0,0.01944
GLOBAL,LDSINDEA01,2050.0,0.01944
GLOBAL,LDSINDNE01,2021.0,0.1439999998848
GLOBAL,LDSINDNE01,2022.0,0.1439999998848
GLOBAL,LDSINDNE01,2023.0,0.1439999998848
GLOBAL,LDSINDNE01,2024.0,0.1439999998848
GLOBAL,LDSINDNE01,2025.0,0.1439999998848
GLOBAL,LDSINDNE01,2026.0,0.1439999998848
GLOBAL,LDSINDNE01,2027.0,0.1439999998848
GLOBAL,LDSINDNE01,2028.0,0.1439999998848
GLOBAL,LDSINDNE01,2029.0,0.1439999998848
GLOBAL,LDSINDNE01,2030.0,0.1439999998848
GLOBAL,LDSINDNE01,2031.0,0.1439999998848
GLOBAL,LDSINDNE01,2032.0,0.1439999998848
GLOBAL,LDSINDNE01,2033.0,0.1439999998848
GLOBAL,LDSINDNE01,2034.0,0.1439999998848
GLOBAL,LDSINDNE01,2035.0,0.1439999998848
