REGION,FUEL,YEAR,VALUE
GLOBAL,ELCBTNXX02,2021,9.5
GLOBAL,ELCBTNXX02,2022,11.03
GLOBAL,ELCBTNXX02,2023,12.58
GLOBAL,ELCBTNXX02,2024,14.11
GLOBAL,ELCBTNXX02,2025,15.66
GLOBAL,ELCBTNXX02,2026,17.32
GLOBAL,ELCBTNXX02,2027,18.97
GLOBAL,ELCBTNXX02,2028,20.62
GLOBAL,ELCBTNXX02,2029,22.27
GLOBAL,ELCBTNXX02,2030,23.95
GLOBAL,ELCBTNXX02,2031,25.73
GLOBAL,ELCBTNXX02,2032,27.51
GLOBAL,ELCBTNXX02,2033,29.28
GLOBAL,ELCBTNXX02,2034,31.09
GLOBAL,ELCBTNXX02,2035,32.86
GLOBAL,ELCBTNXX02,2036,34.84
GLOBAL,ELCBTNXX02,2037,36.82
GLOBAL,ELCBTNXX02,2038,38.8
GLOBAL,ELCBTNXX02,2039,40.78
GLOBAL,ELCBTNXX02,2040,42.75
GLOBAL,ELCBTNXX02,2041,44.93
GLOBAL,ELCBTNXX02,2042,47.11
GLOBAL,ELCBTNXX02,2043,49.29
GLOBAL,ELCBTNXX02,2044,51.47
GLOBAL,ELCBTNXX02,2045,53.64
GLOBAL,ELCBTNXX02,2046,56.0
GLOBAL,ELCBTNXX02,2047,58.35
GLOBAL,ELCBTNXX02,2048,60.7
GLOBAL,ELCBTNXX02,2049,63.06
GLOBAL,ELCBTNXX02,2050,65.41
GLOBAL,ELCINDEA02,2021,594.14
GLOBAL,ELCINDEA02,2022,655.71
GLOBAL,ELCINDEA02,2023,717.27
GLOBAL,ELCINDEA02,2024,772.87
GLOBAL,ELCINDEA02,2025,954.61
GLOBAL,ELCINDEA02,2026,981.6
GLOBAL,ELCINDEA02,2027,1012.38
GLOBAL,ELCINDEA02,2028,1043.24
GLOBAL,ELCINDEA02,2029,1074.44
GLOBAL,ELCINDEA02,2030,1105.41
GLOBAL,ELCINDEA02,2031,1174.28
GLOBAL,ELCINDEA02,2032,1243.48
GLOBAL,ELCINDEA02,2033,1314.83
GLOBAL,ELCINDEA02,2034,1381.43
GLOBAL,ELCINDEA02,2035,1450.11
GLOBAL,ELCINDEA02,2036,1531.14
GLOBAL,ELCINDEA02,2037,1612.66
GLOBAL,ELCINDEA02,2038,1693.49
GLOBAL,ELCINDEA02,2039,1771.0
GLOBAL,ELCINDEA02,2040,1847.47
GLOBAL,ELCINDEA02,2041,1935.51
GLOBAL,ELCINDEA02,2042,2025.21
GLOBAL,ELCINDEA02,2043,2114.95
GLOBAL,ELCINDEA02,2044,2202.04
GLOBAL,ELCINDEA02,2045,2289.82
GLOBAL,ELCINDEA02,2046,2400.84
GLOBAL,ELCINDEA02,2047,2502.17
GLOBAL,ELCINDEA02,2048,2603.44
GLOBAL,ELCINDEA02,2049,2704.7
GLOBAL,ELCINDEA02,2050,2805.83
