REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRWOFINDSO01,2040,100.0
GLOBAL,PWRWOFINDSO01,2041,100.0
GLOBAL,PWRWOFINDSO01,2042,100.0
GLOBAL,PWRWOFINDSO01,2043,100.0
GLOBAL,PWRWOFINDSO01,2044,100.0
GLOBAL,PWRWOFINDSO01,2045,100.0
GLOBAL,PWRWOFINDSO01,2046,100.0
GLOBAL,PWRWOFINDSO01,2047,100.0
GLOBAL,PWRWOFINDSO01,2048,100.0
GLOBAL,PWRWOFINDSO01,2049,100.0
GLOBAL,PWRWOFINDSO01,2050,100.0
GLOBAL,PWRCOABTNXX01,2030,1.0
GLOBAL,PWRCOABTNXX01,2031,1.0
GLOBAL,PWRCOABTNXX01,2032,1.0
GLOBAL,PWRCOABTNXX01,2033,1.0
GLOBAL,PWRCOABTNXX01,2034,1.0
GLOBAL,PWRCOABTNXX01,2035,1.0
GLOBAL,PWRCOABTNXX01,2036,1.0
GLOBAL,PWRCOABTNXX01,2037,1.0
GLOBAL,PWRCOABTNXX01,2038,1.0
GLOBAL,PWRCOABTNXX01,2039,1.0
GLOBAL,PWRCOABTNXX01,2040,1.0
GLOBAL,PWRCOABTNXX01,2041,1.0
GLOBAL,PWRCOABTNXX01,2042,1.0
GLOBAL,PWRCOABTNXX01,2043,1.0
GLOBAL,PWRCOABTNXX01,2044,1.0
GLOBAL,PWRCOABTNXX01,2045,1.0
GLOBAL,PWRCOABTNXX01,2046,1.0
GLOBAL,PWRCOABTNXX01,2047,1.0
GLOBAL,PWRCOABTNXX01,2048,1.0
GLOBAL,PWRCOABTNXX01,2049,1.0
GLOBAL,PWRCOABTNXX01,2050,1.0
GLOBAL,PWRCCGINDNE01,2040,8.8756
GLOBAL,PWRCCGINDNE01,2041,8.8756
GLOBAL,PWRCCGINDNE01,2042,8.8756
GLOBAL,PWRCCGINDNE01,2043,8.8756
GLOBAL,PWRCCGINDNE01,2044,8.8756
GLOBAL,PWRCCGINDNE01,2045,9.2386
GLOBAL,PWRCCGINDNE01,2046,9.7366
GLOBAL,PWRCCGINDNE01,2047,9.8376
GLOBAL,PWRCCGINDNE01,2048,9.8376
GLOBAL,PWRCCGINDNE01,2049,9.8376
GLOBAL,PWRCCGINDNE01,2050,9.8376
