REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINCOABTN,2021,0.0
GLOBAL,MINCOABTN,2022,0.0
GLOBAL,MINCOABTN,2023,0.0
GLOBAL,MINCOABTN,2024,0.0
GLOBAL,MINCOABTN,2025,0.0
GLOBAL,MINCOABTN,2026,0.0
GLOBAL,MINCOABTN,2027,0.0
GLOBAL,MINCOABTN,2028,0.0
GLOBAL,MINCOABTN,2029,0.0
GLOBAL,MINCOABTN,2030,0.0
GLOBAL,MINCOABTN,2031,0.0
GLOBAL,MINCOABTN,2032,0.0
GLOBAL,MINCOABTN,2033,0.0
GLOBAL,MINCOABTN,2034,0.0
GLOBAL,MINCOABTN,2035,0.0
GLOBAL,MINCOABTN,2036,0.0
GLOBAL,MINCOABTN,2037,0.0
GLOBAL,MINCOABTN,2038,0.0
GLOBAL,MINCOABTN,2039,0.0
GLOBAL,MINCOABTN,2040,0.0
GLOBAL,MINCOABTN,2041,0.0
GLOBAL,MINCOABTN,2042,0.0
GLOBAL,MINCOABTN,2043,0.0
GLOBAL,MINCOABTN,2044,0.0
GLOBAL,MINCOABTN,2045,0.0
GLOBAL,MINCOABTN,2046,0.0
GLOBAL,MINCOABTN,2047,0.0
GLOBAL,MINCOABTN,2048,0.0
GLOBAL,MINCOABTN,2049,0.0
GLOBAL,MINCOABTN,2050,0.0
GLOBAL,MINCOAIND,2021,0.0
GLOBAL,MINCOAIND,2022,0.0
GLOBAL,MINCOAIND,2023,0.0
GLOBAL,MINCOAIND,2024,0.0
GLOBAL,MINCOAIND,2025,0.0
GLOBAL,MINCOAIND,2026,0.0
GLOBAL,MINCOAIND,2027,0.0
GLOBAL,MINCOAIND,2028,0.0
GLOBAL,MINCOAIND,2029,0.0
GLOBAL,MINCOAIND,2030,0.0
GLOBAL,MINCOAIND,2031,0.0
GLOBAL,MINCOAIND,2032,0.0
GLOBAL,MINCOAIND,2033,0.0
GLOBAL,MINCOAIND,2034,0.0
GLOBAL,MINCOAIND,2035,0.0
GLOBAL,MINCOAIND,2036,0.0
GLOBAL,MINCOAIND,2037,0.0
GLOBAL,MINCOAIND,2038,0.0
GLOBAL,MINCOAIND,2039,0.0
GLOBAL,MINCOAIND,2040,0.0
GLOBAL,MINCOAIND,2041,0.0
